GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_4,org.example,Account,0,37,0,10,0,10,0,7,0,2
Sprint_4,org.example,Praktikum,23,0,2,0,7,0,3,0,2,0
